research_question,experiment_name,sweep_parameter,sweep_value,dynamics,activation_family,activation_param_name,activation_param_value,lam,n,s,k,beta,seed,converged,convergence_step,publisher_welfare,user_welfare,max_improvement,last_converged,last_convergence_step,last_publisher_welfare,last_user_welfare,last_max_improvement,exposure_violation_initial,exposure_violation_terminal
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,3,True,9,1.0,0.9516363531740178,6.143288195364915e-05,,,,,,0.0,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,1,True,8,1.0,0.9559962077879178,5.353153216369755e-05,,,,,,2.220446049250313e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,5,True,8,1.0,0.9372471883444146,7.480612680432763e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,7,True,8,1.0,0.9500659997787463,9.095024978705846e-05,,,,,,0.0,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,0,True,7,1.0,0.8811761246107626,5.5428337574658926e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,4,True,10,1.0,0.9791217373844326,9.271360057261369e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,2,True,9,1.0,0.9709364023978534,4.768095426710417e-05,,,,,,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,6,True,8,1.0,0.8673930748618819,8.536879767256922e-05,,,,,,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,14,True,7,1.0,0.9601094993121446,7.261716052769929e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,8,True,9,1.0,0.9767747477847024,3.944848514403354e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,13,True,8,1.0,0.914272311295882,7.791047738381351e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,9,True,7,1.0,0.9014560508713098,7.660498417100259e-05,,,,,,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,12,True,9,1.0,0.9406327913892775,5.433328746407007e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,11,True,10,1.0,0.9783755793208834,6.49134440457999e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,10,True,9,1.0,0.9434617147534357,5.226196324842336e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,15,True,8,1.0,0.9302650882450023,3.7853698775180966e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,19,True,7,1.0,0.9658739689890717,8.879188097821178e-05,,,,,,0.0,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,20,True,7,1.0,0.9471286294752325,4.8662888541606275e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,18,True,7,1.0,0.9234327616631886,9.263289566158184e-05,,,,,,0.0,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,17,True,8,1.0,0.9648373175414952,6.572623463874105e-05,,,,,,0.0,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,22,True,8,1.0,0.9877196175118382,1.7496238530256836e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,16,True,8,1.0,0.9031640290091391,3.980850268781033e-05,,,,,,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,21,True,9,1.0,0.9663429045650006,4.228931860894569e-05,,,,,,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,23,True,9,1.0,0.9790924995008677,3.559242883799385e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,25,True,8,1.0,0.9539847514267946,4.497660525337732e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
