research_question,experiment_name,sweep_parameter,sweep_value,dynamics,activation_family,activation_param_name,activation_param_value,lam,n,s,k,beta,seed,converged,convergence_step,publisher_welfare,user_welfare,max_improvement,last_converged,last_convergence_step,last_publisher_welfare,last_user_welfare,last_max_improvement,exposure_violation_initial,exposure_violation_terminal
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,4,True,800,1.0,0.9792187147220724,-1.0474536780102905e-05,True,100,1.0,0.9792271695024093,-2.711397491922396e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,5,True,900,1.0,0.9374047465520472,-1.0352358362109015e-05,True,100,1.0,0.9374126838071701,-2.7108050553448226e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,0,True,1000,1.0,0.8813221517675666,-6.807144932452491e-06,True,100,1.0,0.8813339652833928,-2.711239913627539e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,3,True,1100,1.0,0.9517564451204644,-5.64777787587234e-06,True,200,1.0,0.9517695466416978,-2.7117131109644088e-05,0.0,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,2,True,1000,1.0,0.9710231403313113,-7.302246836315973e-06,True,200,1.0,0.971034586158571,-2.711686492384846e-05,1.1102230246251565e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,1,True,1400,1.0,0.956099399328767,1.3830947859783116e-06,True,200,1.0,0.9561239226511052,-2.7121925695150484e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,7,True,1100,1.0,0.9502413284195175,-5.56560004300044e-06,True,200,1.0,0.950254408185061,-2.7120362933841236e-05,0.0,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,10,True,800,1.0,0.9435679200112436,-1.07913000338411e-05,True,100,1.0,0.9435754519687123,-2.710769218516873e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,9,True,1100,1.0,0.9015690262054891,-5.498237791834448e-06,True,200,1.0,0.9015822909856149,-2.7120792187085296e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,6,True,1400,1.0,0.8674828311973867,4.583672228442026e-07,True,200,1.0,0.8675054808544642,-2.711731290527819e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,11,True,1100,1.0,0.9784939617826695,-4.351271132352341e-06,True,200,1.0,0.9785090503394561,-2.7112570429865812e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,8,True,1600,1.0,0.976865122890262,5.0122658232232276e-06,True,300,1.0,0.9768972227295162,-2.712481304312231e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,13,True,1100,1.0,0.9143610573231612,-4.886701628903367e-06,True,200,1.0,0.9143749970618774,-2.7112416678465312e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,15,True,1000,1.0,0.9303065488807706,-7.633559512776333e-06,True,200,1.0,0.9303185094271088,-2.7116864714904487e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,14,True,1100,1.0,0.9601918291729786,-4.799451810033606e-06,True,200,1.0,0.9602062633224934,-2.7115675605982048e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,12,True,1400,1.0,0.9407379410071949,1.0956828009334174e-06,True,300,1.0,0.9407637978726919,-2.71176051529487e-05,2.220446049250313e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,16,True,900,1.0,0.9032375108366022,-8.567467047471133e-06,True,100,1.0,0.9032471287401199,-2.7105138179883692e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,19,True,900,1.0,0.9660604022167517,-9.281200679001067e-06,True,100,1.0,0.9660692973909906,-2.7108031998235305e-05,0.0,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,18,True,1000,1.0,0.9236157133563098,-6.695416216062622e-06,True,200,1.0,0.9236287747887996,-2.7117391645514743e-05,0.0,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,17,False,,1.0,0.964575172649962,0.00013031898559440203,True,1500,1.0,0.9649580116957424,-2.5721625964703065e-06,0.0,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,21,True,1500,1.0,0.9664044992061234,2.713402266985021e-06,True,300,1.0,0.966434173431522,-2.712523439951653e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,20,True,2800,1.0,0.9471244044991391,3.000242045769763e-05,True,600,1.0,0.9472228142531097,-2.694096565281079e-05,2.220446049250313e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,22,True,2500,1.0,0.9876840296171635,2.3571226050289606e-05,True,500,1.0,0.9877632682795405,-2.7092446928889125e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,23,True,1400,1.0,0.9791396320889478,3.8415972020144906e-07,True,200,1.0,0.9791613745092259,-2.712551621897319e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,24,True,1300,1.0,0.9453404564296249,-1.6406026845383614e-06,True,200,1.0,0.9453620689483326,-2.712198362520013e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,25,True,1000,1.0,0.9540865474161278,-6.59526076801642e-06,True,200,1.0,0.9540992116479735,-2.712424331419161e-05,2.220446049250313e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,26,True,1100,1.0,0.9326337775060773,-4.730234860195193e-06,True,200,1.0,0.9326476905110545,-2.711319681314439e-05,0.0,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,27,True,1200,1.0,0.9617972770240378,-2.189744916225589e-06,True,300,1.0,0.9618188368549053,-2.71255877353771e-05,2.220446049250313e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,28,True,1600,1.0,0.9693935182033724,5.226105305178308e-06,True,300,1.0,0.9694268622878663,-2.71243214891026e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,29,True,900,1.0,0.9524833700882464,-8.608565381817979e-06,True,100,1.0,0.9524933271700958,-2.7110358432835824e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,30,True,1000,1.0,0.9832715957554566,-7.895670998014914e-06,True,200,1.0,0.9832824844207769,-2.7112207410695532e-05,2.220446049250313e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,32,True,1200,1.0,0.9672777487680594,-4.001121924335216e-06,True,200,1.0,0.9672930851865861,-2.712084558681438e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,31,True,1300,1.0,0.940748013550147,-1.0779567471419504e-06,True,200,1.0,0.940767465384582,-2.71211751040612e-05,0.0,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,34,True,800,1.0,0.9226165711867886,-1.1232977942809974e-05,True,200,1.0,0.9226238237868517,-2.7108787029217485e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,36,True,1400,1.0,0.9456610745088926,6.973617155958678e-08,True,200,1.0,0.9456818693465415,-2.712492706113956e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,35,True,1400,1.0,0.885546540171619,2.0430608662080907e-06,True,300,1.0,0.8855734193000885,-2.7120808254399442e-05,2.220446049250313e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,38,True,1400,1.0,0.9719956470540515,4.102484777446236e-07,True,200,1.0,0.972018164564543,-2.711732665727773e-05,0.0,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,37,True,1700,1.0,0.967001556575247,7.690040109753493e-06,True,400,1.0,0.9670424981834241,-2.712609436128499e-05,0.0,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,33,False,,1.0,0.9548086909506801,0.00018777196745650704,True,2100,1.0,0.9553632806168267,2.0285546685316902e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,39,True,1000,1.0,0.9405472110093412,-6.406407266179581e-06,True,100,1.0,0.940559270840455,-2.711086809142893e-05,1.1102230246251565e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,41,True,900,1.0,0.9261464492324851,-9.201075367004652e-06,True,100,1.0,0.9261555124272919,-2.7109922995038893e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,42,True,1100,1.0,0.9372763590674755,-5.1931376613967295e-06,True,200,1.0,0.937289832794631,-2.711135382249541e-05,2.220446049250313e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,40,True,2500,1.0,0.9516745839738464,2.412661645395664e-05,True,600,1.0,0.9517618043248438,-2.70846997000862e-05,2.220446049250313e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,43,True,1300,1.0,0.9375065018519319,-4.633262471465116e-07,True,300,1.0,0.9375305339019494,-2.7120793086643502e-05,0.0,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,44,True,800,1.0,0.9364276050326913,-1.0876669572945641e-05,True,100,1.0,0.9364352386396324,-2.7111679739455496e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,45,True,800,1.0,0.99044515021878,-1.1762407144844111e-05,True,100,1.0,0.9904518220223121,-2.7103303767483933e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,46,True,1200,1.0,0.9278753961909199,-3.5392331281802747e-06,True,200,1.0,0.927892344152542,-2.7120671894254045e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,47,True,1000,1.0,0.9729549722083618,-6.987478572639816e-06,True,200,1.0,0.9729670215014026,-2.7124783997745094e-05,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,50,True,1100,1.0,0.8888359284345017,-6.140452199820956e-06,True,100,1.0,0.8888481804348208,-2.711543467248667e-05,2.220446049250313e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,51,True,1000,1.0,0.9199190243638681,-7.977286259286398e-06,True,100,1.0,0.9199292074196107,-2.7110123918205886e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,49,True,1200,1.0,0.9053116611204972,-3.832721934549088e-06,True,200,1.0,0.9053274583534021,-2.7123183649779836e-05,2.220446049250313e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,48,True,1500,1.0,0.9532078235756604,3.84228933808517e-06,True,200,1.0,0.953234461891013,-2.7123482256474762e-05,0.0,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,52,True,1100,1.0,0.8865530879832964,-4.3346317928349976e-06,True,200,1.0,0.8865680525965915,-2.7115801092103542e-05,0.0,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,53,True,1000,1.0,0.9606313596874075,-7.023619553958582e-06,True,200,1.0,0.9606432912879782,-2.7117846854052274e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,54,True,1000,1.0,0.9369903711637845,-7.894675869479784e-06,True,100,1.0,0.9370010687869118,-2.711397028926088e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,57,True,1100,1.0,0.9217313406267089,-4.2127298858218865e-06,True,200,1.0,0.9217463786998014,-2.712084980649454e-05,2.220446049250313e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,55,True,1200,1.0,0.9303356154090393,-2.3018161155463623e-06,True,200,1.0,0.9303528116222964,-2.7118757743749278e-05,0.0,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,56,True,2100,1.0,0.9353152954808307,1.5026842530074802e-05,True,400,1.0,0.93537018545412,-2.7124854174775948e-05,1.1102230246251565e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,58,True,900,1.0,0.9443063094846634,-9.332638902348478e-06,True,100,1.0,0.9443154954706722,-2.711057078313983e-05,0.0,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,59,True,1300,1.0,0.9137640846225933,-1.7971316524922898e-06,True,200,1.0,0.9137822108882988,-2.7119320039736827e-05,0.0,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,61,True,1000,1.0,0.9516781167619456,-6.688523665754342e-06,True,100,1.0,0.9516897700172006,-2.7116021164952375e-05,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,nrd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,60,True,1300,1.0,0.9720140163064336,-1.2608908728783952e-06,True,200,1.0,0.9720350463612274,-2.7119679907261496e-05,0.0,2.220446049250313e-16
