research_question,experiment_name,sweep_parameter,sweep_value,dynamics,activation_family,activation_param_name,activation_param_value,lam,n,s,k,beta,seed,converged,convergence_step,publisher_welfare,user_welfare,max_improvement,last_converged,last_convergence_step,last_publisher_welfare,last_user_welfare,last_max_improvement,exposure_violation_initial,exposure_violation_terminal
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,3,True,7,0.9872722082989813,0.9345883685986397,9.446705183724369e-05,,,,,,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,4,True,8,0.96290863621432,0.9206292978787491,9.864026863698472e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,6,True,5,0.9832977210036593,0.8477904950734141,6.581896242724428e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,0,True,8,0.9740859816483499,0.8500981459843135,3.985702999281804e-05,,,,,,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,1,True,8,0.9703255629281498,0.9116081942799695,5.8032342514724444e-05,,,,,,2.220446049250313e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,2,True,8,0.963343696859507,0.9148880507157511,3.13466545537322e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,5,True,8,0.9604786608083377,0.8863662739205035,4.882495824504174e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,7,True,8,0.9781733851933881,0.9235153667945494,8.316460911306223e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,13,True,6,0.972408074318696,0.8785747490066389,6.097314049585689e-05,,,,,,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,12,True,7,0.9716389973958334,0.8994274241364764,7.407254004587749e-05,,,,,,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,10,True,8,0.9743539635570239,0.9050185831773335,7.689538217675596e-05,,,,,,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,8,True,9,0.9587923181149189,0.920661719561194,5.4595624218389815e-05,,,,,,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,14,True,7,0.9892396142890636,0.9448407773821147,5.188554420809677e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,9,True,7,0.9671075363916943,0.8592317197862194,8.515119269658644e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,11,True,9,0.9482557466696279,0.8995463421344038,8.135429071787215e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,15,True,6,0.9773301187237192,0.9025863054356847,8.421623518800603e-05,,,,,,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,19,True,7,0.9775344661981118,0.940250646390552,7.902925331565447e-05,,,,,,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,20,True,7,0.9780096346951814,0.9184896981296924,7.791867266604413e-05,,,,,,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,16,True,8,0.9664108841524764,0.8582985968406384,3.114876521348453e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,18,True,8,0.9809556135084248,0.8987466552783481,2.7763930297408645e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,21,True,7,0.9655346618992593,0.9156353309854817,6.88781395508653e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,17,True,8,0.9646415090373582,0.9135919287815942,1.581244052667463e-05,,,,,,2.220446049250313e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,22,True,8,0.9702022467085522,0.9473442735110224,1.6922405041308597e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,23,True,9,0.9820788955745592,0.9533331149160494,1.2855087987762026e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,24,True,7,0.9875113167930283,0.926238429073896,6.158557770147288e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,26,True,8,0.9850874702145133,0.9110457260366349,6.870650353063557e-05,,,,,,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,30,True,8,0.9719621304124563,0.9395572662256929,6.373182042179737e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,29,True,8,0.9588571629292585,0.8888147718662425,7.492987096507919e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,25,True,8,0.9443551023772936,0.8737856612074303,7.264238787402233e-05,,,,,,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,27,True,9,0.9617587427474785,0.910187398917706,2.3249487714482875e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,28,True,9,0.9525518204408366,0.9008868247820644,1.1153256901763609e-05,,,,,,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,31,True,8,0.9703332295451141,0.9023906460431043,5.7273242147937165e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,33,True,9,0.9717965923704123,0.9145303401878236,7.5093944682747e-05,,,,,,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,32,True,7,0.97260039945467,0.9295486676126615,6.162352137933924e-05,,,,,,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,34,True,7,0.9694851638598422,0.88178912090678,5.413058996955877e-05,,,,,,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,35,True,9,0.9644775390625,0.8350324490285992,5.958555238300134e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,38,True,8,0.9816818025091484,0.9467342364804234,9.629837539071318e-05,,,,,,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,37,True,10,0.9416154776392128,0.8875323302315651,4.999309257025519e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,36,True,8,0.9842392264871923,0.9271220066789646,5.4742603489921215e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,39,True,7,0.9847792991009585,0.9199804197415368,2.637360742269168e-05,,,,,,0.0,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,41,True,6,0.9893031528210682,0.9133069534562964,6.358311000537187e-05,,,,,,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,45,True,6,0.9910694999395694,0.9748278385460152,9.977825764517778e-05,,,,,,0.0,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,42,True,8,0.9688080242380427,0.9018029451251826,7.176930384317215e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,40,True,8,0.9514095823806765,0.8816226414517674,4.57814093732245e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,43,True,9,0.9457118673029771,0.8611523069381967,8.314460007813329e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,44,True,8,0.9516604359145042,0.8665972621034728,9.051621248756803e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,47,True,6,0.9833460617236777,0.9456145570322395,4.652775206281934e-05,,,,,,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,46,True,8,0.9782786904105476,0.8996739397836363,7.5788167930856964e-06,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,51,True,6,0.9825199741816119,0.8991489415647033,8.625932177225293e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,49,True,7,0.9790859875361696,0.8750292421864652,3.8803686994659525e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,48,True,8,0.9774317745471537,0.9204469655109221,1.5370856628504903e-05,,,,,,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,brd,root_power,a,0.0,0.5,3,3,3,1.0,52,True,6,0.9802182981645541,0.8639627818459427,4.56064353065444e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
