research_question,experiment_name,sweep_parameter,sweep_value,dynamics,activation_family,activation_param_name,activation_param_value,lam,n,s,k,beta,seed,converged,convergence_step,publisher_welfare,user_welfare,max_improvement,last_converged,last_convergence_step,last_publisher_welfare,last_user_welfare,last_max_improvement,exposure_violation_initial,exposure_violation_terminal
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,4,True,900,0.9611190287795017,0.9224374852972214,-4.029497045449082e-05,True,200,0.9614483488625523,0.9221107991492233,-6.776188518448079e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,0,True,1100,0.9733461835400412,0.8508049740103925,-3.376135485216869e-05,True,200,0.9737069592364835,0.8505214045193278,-6.778447361927009e-05,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,1,True,900,0.9692521629172045,0.9126622616552011,-3.966469216687418e-05,True,200,0.969131856858725,0.9128007019504857,-6.778676974500408e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,3,True,1000,0.9871245272422864,0.9349774033961561,-3.600362345929087e-05,True,200,0.9875723407918233,0.9345590215812144,-6.78033595813976e-05,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,2,True,1000,0.9615601278053708,0.9167868085115494,-3.536788869890062e-05,True,100,0.9621557679803645,0.916223531856938,-6.779458373201708e-05,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,5,True,1000,0.9615255517348487,0.885624537017506,-3.439515388820036e-05,True,200,0.9622963861602812,0.8849486065742704,-6.777125063484046e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,6,True,800,0.9825588979546706,0.8482792743572675,-4.176143876327698e-05,True,100,0.9824018422145331,0.8484803887513213,-6.779412020285758e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,8,True,1000,0.9608117367683915,0.9188283131346546,-3.491033620678374e-05,True,100,0.9607323056629067,0.9189005804779592,-6.778750972097347e-05,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,7,True,1100,0.9798337922526958,0.9220060947569438,-3.1759004571585425e-05,True,200,0.9799750950162752,0.9218881855574285,-6.776983730710784e-05,2.220446049250313e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,10,True,800,0.9721266275667055,0.9070694844021254,-4.175019423552362e-05,True,100,0.9725210600805488,0.906730950366688,-6.777855494666252e-05,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,9,True,800,0.967778860562709,0.858921851719939,-4.279600990397814e-05,True,200,0.9677592338115709,0.858998107277135,-6.775687865367974e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,11,True,1000,0.946713044316565,0.9010891476066659,-3.602594046658858e-05,True,200,0.9472984945643892,0.9005298768833659,-6.780280609791633e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,14,True,600,0.9894658710139109,0.9447824222535811,-4.8420728594289475e-05,True,100,0.9892717645229474,0.9449856980216724,-6.778540199042782e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,12,True,1200,0.9698606879439157,0.900979577276496,-3.0220095595945295e-05,True,200,0.9701138409151544,0.9007681149825953,-6.779588414324023e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,13,True,1200,0.9737596530645877,0.8771949995588262,-3.0441379281709313e-05,True,200,0.9739707596665106,0.8769980837606645,-6.774958551514221e-05,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,15,True,1000,0.9778293205697441,0.9022215291431163,-3.6256481430796406e-05,True,200,0.97822029525313,0.9019008754056764,-6.77736174328758e-05,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,16,True,900,0.967376545850916,0.8573990274465756,-3.9732816847326546e-05,True,100,0.9679659420788562,0.8568228216691266,-6.780116135413072e-05,2.220446049250313e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,17,True,1000,0.9641534968278895,0.9140169317686858,-3.5848282455341884e-05,True,200,0.964044428003461,0.9141564589691034,-6.780106756304471e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,19,True,800,0.9790408640286227,0.938928777286289,-4.196945130890972e-05,True,100,0.9794135099641006,0.9385941999915586,-6.779407647122815e-05,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,18,True,1000,0.9817812595738016,0.8980105698870363,-3.497864129181627e-05,True,200,0.982003521584921,0.8978146626609993,-6.777908527622056e-05,2.220446049250313e-16,2.220446049250313e-16
